1,1,big,vascular,1
2,2,medium,vascular,1
3,3,medium,vascular,1
4,1,small,vascular,1
5,3,small,vascular,1
6,2,small,vascular,1
7,1,medium,traumatology,1
8,1,small,vascular,1
9,1,small,vascular,1
10,2,small,vascular,1
11,3,medium,vascular,1
12,2,medium,vascular,1
13,2,medium,traumatology,1
14,3,small,vascular,1
15,1,small,vascular,1
16,2,small,vascular,1
17,2,medium,vascular,1
18,3,small,traumatology,1
19,1,small,traumatology,1
20,1,big,traumatology,1
21,2,big,vascular,1
22,2,medium,traumatology,1
23,3,big,traumatology,1
24,1,small,traumatology,1
25,3,small,traumatology,1
26,2,medium,traumatology,1
27,3,big,vascular,1
28,1,small,traumatology,1
29,1,small,traumatology,1
30,2,medium,traumatology,1
31,3,small,vascular,1
32,1,big,traumatology,1
33,1,small,traumatology,1
34,1,small,traumatology,1
35,3,medium,vascular,1
36,1,big,traumatology,1
37,1,small,traumatology,1
38,3,small,traumatology,1
39,2,big,traumatology,1
40,2,medium,traumatology,1
41,2,small,traumatology,1
42,2,small,traumatology,1
43,1,medium,traumatology,1
44,1,medium,traumatology,1
45,3,small,vascular,1
46,1,small,traumatology,1
47,3,big,vascular,1
48,1,big,traumatology,1
49,2,big,traumatology,1
50,2,medium,traumatology,1
